tomoname,set,alignment_dir,cleft_IDs
20250226_CZmilledH-1_Position_1,unlabeled,best_alignment,
20250226_CZmilledH-1_Position_2_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_102_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_104,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_105_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_115_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_118_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_124_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_15_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_16,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_16_6,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_23_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_30,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_30_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_32_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_33,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_39_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_47,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_51_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_53_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_58,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_63_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_64,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_69_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_70_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_73_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_74_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_75_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_78_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_79,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_82_3,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_85,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_92_2,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_96_5,unlabeled,best_alignment,
20250227_AMmilled25-3_Position_99_4,unlabeled,best_alignment,
20250228_AMmilled25-1_Position_1,unlabeled,best_alignment,
20250228_AMmilled25-1_Position_22_3,unlabeled,best_alignment,
20250228_AMmilled25-1_Position_23,unlabeled,best_alignment,
20250228_AMmilled25-1_Position_29,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_10_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_1_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_1_7,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_16,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_24_5,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_27,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_30_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_30_4,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_31_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_33_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_41_3,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_49_4,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_7,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_8_2,unlabeled,best_alignment,
20250228_AMmilled25-2_Position_9_5,unlabeled,best_alignment,
20250228_CZmilledA-3_Position_17_2,unlabeled,best_alignment,
20250228_CZmilledA-3_Position_19_3,unlabeled,best_alignment,
20250228_CZmilledA-3_Position_43,unlabeled,best_alignment,
